odfi,rdfi,transaction_count,total_dollar_value,avg_dollar_value,ach_percentage,wire_percentage,rtp_percentage,recurring_percentage,avg_settlement_days,relationship_strength
011000018,011000006,95535,73590523.44,770.3,55.71,6.09,38.19,41.66,0.92,1.0
011000006,011000017,10685,10587499.42,990.88,53.97,8.8,37.23,36.53,1.81,1.0
011000008,011000006,10210,3954797.38,387.35,64.26,23.64,12.1,21.24,0.95,1.0
011000001,011000010,9946,41483328.96,4170.86,78.37,28.29,-6.67,41.21,1.97,0.9946
011000018,011000001,9878,6772601.31,685.62,58.25,15.88,25.87,46.45,1.49,0.9878
011000015,011000018,9547,17622545.54,1845.87,57.93,25.69,16.39,28.91,1.23,0.9547
011000001,011000015,8956,23029582.4,2571.41,56.94,27.66,15.4,41.92,1.38,0.8956
011000002,011000008,6614,58769766.07,8885.66,50.72,29.55,19.73,23.25,1.11,0.6614
011000005,011000007,5724,10581878.19,1848.69,48.62,20.33,31.05,47.76,1.48,0.5724
011000010,011000000,5129,948305.3,184.89,48.04,12.18,39.78,48.86,0.65,0.5129
011000006,011000002,5094,955731.05,187.62,63.49,12.02,24.49,12.14,0.93,0.5094
011000012,011000001,4845,3493250.58,721.0,44.26,11.72,44.02,23.42,1.63,0.4845
011000005,011000009,4813,4559896.83,947.41,64.47,10.01,25.52,43.9,1.8,0.4813
011000018,011000008,4719,34162503.34,7239.35,60.33,11.47,28.2,44.38,0.98,0.4719
011000017,011000010,4545,5663508.34,1246.1,76.82,14.55,8.63,45.86,1.73,0.4545
011000011,011000013,3829,600350.87,156.79,44.71,5.5,49.79,12.08,1.56,0.3829
011000000,011000018,3804,1619958.74,425.86,58.93,7.59,33.48,47.05,1.96,0.3804
011000017,011000013,3743,146802535.13,39220.55,73.77,16.64,9.59,13.42,1.4,0.3743
011000018,011000013,3037,1537910.61,506.39,42.26,29.27,28.46,20.92,1.23,0.3037
011000010,011000012,2922,1366353.7,467.61,56.1,16.14,27.76,27.16,1.84,0.2922
011000007,011000009,2706,1354018.8,500.38,65.62,13.88,20.5,35.04,1.65,0.2706
011000014,011000002,2675,2551579.87,953.86,77.38,20.91,1.71,17.24,1.56,0.2675
011000018,011000015,2663,4601590.2,1727.97,56.04,16.45,27.51,26.74,0.78,0.2663
011000001,011000011,2656,23075458.92,8688.05,42.81,15.24,41.95,48.65,0.85,0.2656
011000006,011000016,2651,953675.71,359.74,50.6,27.87,21.53,28.33,0.97,0.2651
011000000,011000010,2594,49652765.9,19141.39,48.59,14.92,36.49,11.58,0.55,0.2594
011000001,011000009,2566,1434987.62,559.23,50.3,10.69,39.0,28.44,1.48,0.2566
011000008,011000018,2478,596970.95,240.91,52.9,14.17,32.93,35.63,0.5,0.2478
011000017,011000003,2469,1612266.83,653.0,74.35,10.12,15.53,17.2,1.11,0.2469
011000001,011000013,2294,5723518.57,2495.0,65.74,17.54,16.73,24.93,1.81,0.2294
011000007,011000016,2222,39788248.21,17906.5,64.53,21.71,13.77,22.2,1.29,0.2222
011000004,011000002,2162,10874413.32,5029.79,60.41,26.83,12.77,21.19,1.66,0.2162
011000011,011000000,2121,19321701.37,9109.71,50.86,28.28,20.86,17.05,0.61,0.2121
011000010,011000007,2070,57720560.39,27884.33,70.75,7.36,21.89,17.26,1.9,0.207
011000010,011000014,1997,1583564.74,792.97,52.32,11.32,36.36,20.98,1.96,0.1997
011000019,011000003,1869,3584150.77,1917.68,69.74,28.69,1.57,38.24,1.99,0.1869
011000019,011000007,1858,6665084.76,3587.24,78.52,23.05,-1.56,40.58,1.74,0.1858
011000008,011000004,1762,2894498.7,1642.73,75.99,8.09,15.92,49.34,1.44,0.1762
011000017,011000015,1702,2916468.87,1713.55,67.89,19.59,12.51,47.41,1.69,0.1702
011000019,011000002,1668,12215054.56,7323.17,73.83,18.21,7.96,20.42,0.61,0.1668
011000013,011000016,1612,172574.17,107.06,50.22,16.73,33.05,17.99,1.7,0.1612
011000008,011000007,1568,8844514.3,5640.63,55.58,28.05,16.37,46.24,1.62,0.1568
011000009,011000003,1524,2558006.53,1678.48,65.44,13.27,21.29,32.87,1.63,0.1524
011000001,011000002,1426,142600.0,100.0,50.05,26.49,23.46,30.49,1.21,0.1426
011000006,011000005,1395,274111.42,196.5,42.46,17.92,39.62,20.71,1.01,0.1395
011000004,011000016,1378,2040414.74,1480.71,61.74,18.31,19.94,47.33,1.08,0.1378
011000008,011000015,1376,1828797.64,1329.07,74.29,22.66,3.05,31.6,1.47,0.1376
011000019,011000005,1340,7745804.26,5780.45,42.5,7.4,50.1,49.01,0.99,0.134
011000003,011000011,1318,492215.47,373.46,59.37,19.25,21.38,26.51,1.1,0.1318
011000007,011000015,1298,704448.62,542.72,53.4,27.56,19.04,19.04,1.04,0.1298
011000002,011000017,1185,156774.74,132.3,65.53,18.03,16.44,47.73,1.06,0.1185
011000008,011000016,1123,468253.82,416.97,43.99,16.37,39.64,31.02,1.66,0.1123
011000015,011000011,1083,1768761.61,1633.21,75.72,28.12,-3.84,27.82,1.93,0.1083
011000004,011000017,1003,2705232.26,2697.14,60.08,19.63,20.29,21.56,0.57,0.1003
011000014,011000018,974,1194832.58,1226.73,44.16,28.5,27.34,32.41,1.65,0.0974
011000000,011000019,958,2192588.42,2288.71,72.95,14.87,12.18,12.71,1.4,0.0958
011000004,011000006,858,1331444.59,1551.8,40.64,27.34,32.01,38.54,1.29,0.0858
011000002,011000012,832,1055183.13,1268.25,67.84,26.36,5.81,13.96,1.01,0.0832
011000015,011000002,776,2016173.83,2598.16,71.82,10.32,17.86,25.36,0.52,0.0776
011000008,011000013,759,823751.27,1085.31,76.29,10.44,13.27,29.84,1.3,0.0759
011000018,011000002,712,576282.32,809.39,66.46,23.42,10.11,22.23,1.98,0.0712
011000013,011000007,671,3967259.27,5912.46,47.08,20.81,32.12,22.72,0.65,0.0671
011000005,011000019,648,343617.21,530.27,65.01,29.4,5.58,23.35,0.71,0.0648
011000013,011000003,642,211542.73,329.51,68.36,9.39,22.25,31.06,1.92,0.0642
011000003,011000017,616,454973.65,738.59,75.76,24.86,-0.62,41.51,0.68,0.0616
011000006,011000008,616,1162759.66,1887.6,51.86,26.22,21.92,19.31,1.46,0.0616
011000014,011000013,616,3281344.59,5326.86,58.33,26.15,15.52,17.0,0.96,0.0616
011000005,011000008,562,6332816.33,11268.36,68.32,27.28,4.4,32.93,1.27,0.0562
011000006,011000013,544,54727.74,100.6,40.89,13.96,45.15,17.35,1.84,0.0544
011000001,011000014,517,610097.49,1180.07,77.7,13.37,8.93,25.47,0.93,0.0517
011000016,011000019,488,48800.0,100.0,57.28,26.6,16.12,16.81,1.08,0.0488
011000003,011000006,461,358948.41,778.63,78.34,6.69,14.97,44.59,1.02,0.0461
011000010,011000008,422,128531.35,304.58,79.74,10.89,9.37,13.42,0.59,0.0422
011000001,011000000,418,393697.16,941.86,69.72,11.92,18.36,11.07,1.57,0.0418
011000005,011000006,392,459548.07,1172.32,50.21,24.29,25.5,47.58,1.51,0.0392
011000017,011000000,387,140238.63,362.37,50.86,11.92,37.22,24.17,0.59,0.0387
011000003,011000018,375,359467.01,958.58,45.0,22.73,32.27,10.78,0.84,0.0375
011000005,011000016,354,275778.53,779.04,55.84,24.72,19.44,37.76,1.02,0.0354
011000011,011000009,354,278713.8,787.33,65.2,25.61,9.19,42.88,1.43,0.0354
011000016,011000008,352,417627.05,1186.44,53.89,17.09,29.02,12.55,1.35,0.0352
011000010,011000011,342,620665.56,1814.81,65.54,26.42,8.04,12.75,0.89,0.0342
011000004,011000019,338,131989.06,390.5,77.48,12.78,9.74,30.59,0.74,0.0338
011000019,011000016,316,1003883.88,3176.85,79.71,21.51,-1.22,26.09,1.5,0.0316
011000007,011000017,316,50902.83,161.08,61.99,24.4,13.6,32.72,1.98,0.0316
011000012,011000002,287,165390.83,576.27,40.37,20.37,39.26,29.25,1.08,0.0287
011000006,011000009,273,492243.07,1803.09,78.64,27.55,-6.19,24.65,1.95,0.0273
011000003,011000015,270,71416.89,264.51,43.74,10.43,45.83,35.84,1.15,0.027
011000018,011000004,268,122204.2,455.99,60.29,25.18,14.53,34.11,1.4,0.0268
011000002,011000003,257,1306261.82,5082.73,52.54,13.78,33.68,48.0,1.05,0.0257
011000001,011000006,233,255006.06,1094.45,58.88,27.22,13.9,31.55,1.15,0.0233
011000016,011000004,225,345114.44,1533.84,59.44,9.3,31.26,21.15,1.76,0.0225
011000014,011000011,225,22500.0,100.0,51.28,8.63,40.09,11.07,1.95,0.0225
011000012,011000009,221,245120.85,1109.14,71.43,24.37,4.2,42.6,0.63,0.0221
011000014,011000016,221,164319.08,743.53,52.62,19.19,28.19,34.48,1.37,0.0221
011000017,011000008,220,233019.22,1059.18,64.39,29.72,5.89,29.66,0.62,0.022
011000014,011000009,214,65756.35,307.27,48.85,19.95,31.2,13.46,1.35,0.0214
011000004,011000005,208,1381956.23,6644.02,77.66,22.6,-0.26,34.35,1.56,0.0208
011000000,011000003,206,157990.35,766.94,67.39,18.97,13.64,33.0,1.43,0.0206
011000017,011000009,196,671971.33,3428.43,64.72,17.22,18.06,33.85,1.22,0.0196
011000012,011000019,181,448817.36,2479.65,56.71,13.23,30.06,44.16,1.33,0.0181
011000018,011000000,175,129007.96,737.19,58.4,19.7,21.9,23.55,1.01,0.0175
011000002,011000015,168,385834.73,2296.64,64.25,10.18,25.57,25.14,1.98,0.0168
011000019,011000010,162,564214.8,3482.81,53.6,14.65,31.76,42.19,0.69,0.0162
011000019,011000014,160,177403.44,1108.77,44.59,24.33,31.08,33.94,0.77,0.016
011000003,011000012,155,215363.77,1389.44,41.8,15.4,42.8,30.0,1.22,0.0155
011000003,011000001,153,1605282.83,10492.04,61.67,19.44,18.89,18.23,1.5,0.0153
011000007,011000001,153,294247.87,1923.19,72.56,12.22,15.22,21.46,0.94,0.0153
011000014,011000019,147,54979.33,374.01,41.99,24.62,33.39,39.25,1.36,0.0147
011000015,011000014,145,150642.54,1038.91,64.82,11.53,23.66,46.12,1.1,0.0145
011000013,011000015,141,165618.29,1174.6,58.58,18.6,22.82,40.78,1.02,0.0141
011000008,011000000,137,55133.64,402.44,45.52,23.24,31.24,37.65,1.14,0.0137
011000003,011000008,136,182204.59,1339.74,61.65,25.06,13.3,39.08,0.61,0.0136
011000017,011000012,135,20727.01,153.53,51.87,8.41,39.72,39.01,1.65,0.0135
011000004,011000015,133,61561.19,462.87,63.41,8.1,28.49,26.78,0.74,0.0133
011000010,011000003,123,212380.94,1726.67,72.68,29.47,-2.14,27.37,1.92,0.0123
011000012,011000013,122,100344.35,822.49,44.77,15.83,39.39,14.04,1.44,0.0122
011000002,011000000,119,124690.6,1047.82,62.88,20.03,17.08,15.69,1.41,0.0119
011000001,011000016,112,130186.65,1162.38,75.3,13.23,11.47,47.92,1.2,0.0112
011000008,011000001,109,600659.59,5510.64,60.43,29.72,9.85,46.54,1.85,0.0109
011000011,011000015,105,151736.53,1445.11,43.5,13.11,43.38,42.81,1.63,0.0105
011000002,011000013,105,578712.24,5511.55,60.09,28.26,11.65,17.27,0.63,0.0105
011000009,011000005,104,774393.79,7446.09,61.68,16.17,22.15,15.08,1.03,0.0104
011000004,011000011,98,50126.64,511.5,69.48,20.52,10.0,25.24,0.85,0.0098
011000014,011000005,98,258884.11,2641.67,41.06,5.84,53.1,10.37,1.65,0.0098
011000015,011000003,95,84535.21,889.84,65.56,10.67,23.77,24.66,0.94,0.0095
011000001,011000019,90,1592289.65,17692.11,44.69,20.07,35.23,43.2,1.52,0.009
011000008,011000002,90,28680.82,318.68,76.55,7.39,16.05,47.57,0.66,0.009
011000009,011000016,88,20729.04,235.56,72.99,23.18,3.83,41.55,1.43,0.0088
011000010,011000015,88,53832.92,611.74,58.3,10.69,31.01,27.36,0.7,0.0088
011000008,011000003,87,188107.62,2162.16,79.87,13.79,6.34,25.3,1.62,0.0087
011000014,011000015,86,9346.74,108.68,53.67,5.03,41.3,42.13,1.56,0.0086
011000009,011000019,82,21445.08,261.53,55.53,5.6,38.87,21.15,1.77,0.0082
011000014,011000010,81,9429.02,116.41,45.32,20.98,33.71,21.05,1.89,0.0081
011000005,011000003,80,56960.41,712.01,53.05,23.0,23.95,40.77,0.58,0.008
011000017,011000005,77,63145.09,820.07,59.01,8.73,32.27,36.6,1.52,0.0077
011000006,011000004,77,81683.98,1060.83,40.87,15.8,43.33,40.5,1.86,0.0077
011000008,011000011,75,149034.89,1987.13,54.84,24.57,20.59,41.82,1.4,0.0075
011000009,011000015,74,43210.59,583.93,47.22,7.16,45.62,10.76,0.89,0.0074
011000011,011000002,73,16256.36,222.69,55.16,20.1,24.74,10.17,0.78,0.0073
011000018,011000017,71,14084.73,198.38,42.39,23.47,34.15,10.73,1.97,0.0071
011000018,011000007,71,2242526.05,31584.87,43.66,18.26,38.08,12.9,0.59,0.0071
011000014,011000006,68,341665.45,5024.49,45.19,17.26,37.55,14.94,1.3,0.0068
011000009,011000007,67,1050221.91,15674.95,62.63,17.58,19.8,42.93,1.86,0.0067
011000001,011000007,61,39475.5,647.14,70.57,9.63,19.8,30.37,0.93,0.0061
011000002,011000005,60,294601.15,4910.02,59.99,18.21,21.8,37.03,1.43,0.006
011000006,011000000,56,27015.18,482.41,79.24,15.32,5.44,37.69,1.96,0.0056
011000011,011000014,52,102194.41,1965.28,48.13,13.5,38.36,39.76,1.39,0.0052
011000017,011000011,48,33358.21,694.96,49.67,25.8,24.54,41.06,0.63,0.0048
011000017,011000019,47,4700.0,100.0,50.78,5.53,43.69,18.0,1.56,0.0047
011000015,011000000,46,37097.7,806.47,60.45,16.62,22.93,44.21,1.63,0.0046
011000012,011000004,46,30353.2,659.85,77.68,22.27,0.05,11.2,1.52,0.0046
011000012,011000015,46,4600.0,100.0,75.64,17.44,6.93,49.39,1.79,0.0046
011000010,011000001,45,40966.91,910.38,42.42,14.35,43.24,41.17,1.91,0.0045
011000007,011000006,43,106025.36,2465.71,76.54,17.32,6.13,49.29,1.96,0.0043
011000013,011000008,37,11161.96,301.67,72.26,12.05,15.69,39.79,1.14,0.0037
011000002,011000014,35,45178.31,1290.81,68.76,12.08,19.16,47.22,1.96,0.0035
011000002,011000004,35,108256.9,3093.05,57.32,8.65,34.03,23.57,1.66,0.0035
011000018,011000012,34,155947.63,4586.7,63.06,29.55,7.39,34.21,1.28,0.0034
011000000,011000017,34,135308.89,3979.67,58.38,27.09,14.53,29.03,0.63,0.0034
011000005,011000011,32,11907.74,372.12,54.97,15.62,29.41,10.28,0.73,0.0032
011000007,011000014,30,11048.27,368.28,48.98,15.87,35.15,27.52,1.15,0.003
011000004,011000008,30,361155.66,12038.52,52.54,11.68,35.79,12.03,0.9,0.003
011000018,011000011,27,19693.55,729.39,59.71,13.44,26.85,32.38,1.99,0.0027
011000006,011000011,27,23913.13,885.67,67.06,9.03,23.9,13.45,0.82,0.0027
011000013,011000006,27,28067.95,1039.55,61.61,24.4,13.99,33.79,1.67,0.0027
011000010,011000016,25,17335.77,693.43,73.57,11.6,14.83,25.0,0.92,0.0025
011000000,011000012,25,90475.77,3619.03,44.53,21.03,34.45,15.25,1.92,0.0025
011000007,011000019,25,24089.52,963.58,65.51,14.89,19.6,42.19,1.45,0.0025
011000000,011000016,23,72531.5,3153.54,77.14,11.75,11.11,46.68,0.64,0.0023
011000012,011000008,20,21640.95,1082.05,78.4,29.74,-8.14,48.31,1.58,0.002
011000006,011000015,20,2673.14,133.66,58.73,29.93,11.34,46.54,1.95,0.002
011000013,011000009,18,13534.33,751.91,46.13,20.85,33.02,24.12,1.52,0.0018
011000004,011000009,18,1870.8,103.93,67.3,11.85,20.84,17.39,1.85,0.0018
011000014,011000007,18,14211.44,789.52,49.69,13.02,37.28,27.21,1.79,0.0018
011000016,011000015,17,9884.7,581.45,70.53,24.28,5.2,20.51,1.09,0.0017
011000010,011000018,17,116688.37,6864.02,77.28,10.18,12.53,25.05,0.55,0.0017
011000015,011000016,17,9020.2,530.6,57.19,14.41,28.4,27.42,1.66,0.0017
011000000,011000008,17,70356.34,4138.61,53.1,18.09,28.81,41.7,1.58,0.0017
011000016,011000017,16,7357.75,459.86,76.81,13.96,9.23,18.39,1.44,0.0016
011000000,011000009,16,17348.81,1084.3,60.8,7.08,32.13,42.97,1.37,0.0016
